"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"685,013,548","+29,823","6,838,000",+148,"657,833,548","+72,755","20,342,000","39,643","87,881",877.3,,,,All,"
",,,,,
USA,"106,376,388","+2,144","1,157,020                                ",+17,"104,206,409","+17,184","1,012,959","1,779","317,726","3,456","1,175,297,234","3,510,390","334,805,269 ",North America,3,289,0,6,0.05,"3,026"
India,"44,762,496",,"530,979                                ",,"44,196,318",,"35,199",N/A,"31,822",377,"922,771,410","656,015","1,406,631,776 ",Asia,31,"2,649",2,,,25
France,"39,851,372","+1,342","165,857                                ",,"39,550,411","+11,519","135,104",869,"607,634","2,529","271,490,188","4,139,547","65,584,518 ",Europe,2,395,0,20,,"2,060"
Germany,"38,368,891",,"171,411                                ",,"38,125,900","+7,800","71,580",N/A,"457,406","2,043","122,332,384","1,458,359","83,883,596 ",Europe,2,489,1,,,853
Brazil,"37,319,254",,"700,556                                ",,"36,249,161",,"369,537",N/A,"173,293","3,253","63,776,166","296,146","215,353,593 ",South America,6,307,3,,,"1,716"
Japan,"33,527,217","+3,290","74,110                                ",+14,"21,725,273",,"11,727,834",58,"266,969",590,"98,725,273","786,124","125,584,838 ",Asia,4,"1,695",1,26,0.1,"93,386"
S. Korea,"30,918,060","+4,005","34,332                                ",+8,"30,705,133",,"178,595",127,"602,340",669,"15,804,065","307,892","51,329,899 ",Asia,2,"1,495",3,78,0.2,"3,479"
Italy,"25,715,384",,"189,262                                ",,"25,393,597",,"132,525",85,"426,721","3,141","270,400,793","4,487,029","60,262,770 ",Europe,2,318,0,,,"2,199"
UK,"24,448,729",,"209,396                                ",,"24,236,469","+4,795","2,864",N/A,"356,927","3,057","522,526,476","7,628,357","68,497,907 ",Europe,3,327,0,,,42
Russia,"22,721,610","+6,622","397,604                                ",+34,"22,095,237","+6,981","228,769",N/A,"155,835","2,727","273,400,000","1,875,095","145,805,947 ",Europe,6,367,1,45,0.2,"1,569"
Turkey,"17,232,066",,"102,174                                ",,N/A,N/A,N/A,,"201,399","1,194","162,743,369","1,902,052","85,561,976 ",Asia,5,837,1,,,"4,024"
Spain,"13,798,747",,"120,426                                ",,"13,645,949",,"32,372",231,"295,355","2,578","471,036,328","10,082,298","46,719,142 ",Europe,3,388,0,,,693
Vietnam,"11,527,859",+114,"43,186                                ",,"10,615,098",+19,"869,575",8,"116,498",436,"85,826,548","867,342","98,953,541 ",Asia,9,"2,291",1,1,,"8,788"
Australia,"11,352,930",,"19,933                                ",,"11,291,664",,"41,333",45,"435,499",765,"78,835,048","3,024,116","26,068,792 ",Australia/Oceania,2,"1,308",0,,,"1,586"
Taiwan,"10,239,998",,"19,005                                ",,"10,217,956","+5,619","3,037",,"428,656",796,"30,742,304","1,286,903","23,888,595 ",Asia,2,"1,257",1,,,127
Argentina,"10,044,957",,"130,472                                ",,"9,914,485",,0,363,"218,320","2,836","35,716,069","776,264","46,010,234 ",South America,5,353,1,,,
Netherlands,"8,610,372",,"22,992                                ",,"8,579,274",+567,"8,106",53,"500,270","1,336","25,984,435","1,509,718","17,211,447 ",Europe,2,749,1,,,471
Iran,"7,592,255",,"145,391                                ",,"7,342,490",,"104,374",407,"88,259","1,690","55,353,767","643,478","86,022,837 ",Asia,11,592,2,,,"1,213"
Mexico,"7,553,660",+237,"333,595                                ",+1,"6,799,050","+2,271","421,015",N/A,"57,415","2,536","19,825,266","150,691","131,562,772 ",North America,17,394,7,2,0.01,"3,200"
Indonesia,"6,751,662",+494,"161,057                                ",+5,"6,584,006",+576,"6,599",N/A,"24,188",577,"114,158,919","408,975","279,134,505 ",Asia,41,"1,733",2,2,0.02,24
Poland,"6,504,194",+116,"119,423                                ",,"5,335,940",,"1,048,831",696,"172,343","3,164","38,577,159","1,022,188","37,739,785 ",Europe,6,316,1,3,,"27,791"
Colombia,"6,363,058",,"142,690                                ",,"6,186,006",,"34,362",342,"123,524","2,770","36,951,507","717,327","51,512,762 ",South America,8,361,1,,,667
Austria,"6,046,931",+652,"22,183                                ",,"6,008,485","+1,343","16,263",55,"666,938","2,447","211,273,524","23,302,116","9,066,710 ",Europe,1,409,0,72,,"1,794"
Greece,"5,965,643",,"36,582                                ",,"5,915,310","+4,495","13,751",115,"578,255","3,546","102,228,365","9,909,078","10,316,637 ",Europe,2,282,0,,,"1,333"
Portugal,"5,576,583",,"26,450                                ",,"5,544,023",,"6,110",61,"549,928","2,608","46,052,812","4,541,442","10,140,570 ",Europe,2,383,0,,,603
Ukraine,"5,465,954",,"111,676                                ",,"5,315,684",,"38,594",,"126,550","2,586","32,603,805","754,855","43,192,122 ",Europe,8,387,1,,,894
Chile,"5,273,877",+527,"64,497                                ",,"5,206,417",,"2,963",70,"273,965","3,350","49,155,689","2,553,516","19,250,195 ",South America,4,298,0,27,,154
Malaysia,"5,052,337",,"36,982                                ",,"5,004,043",,"11,312",13,"152,266","1,115","68,335,643","2,059,477","33,181,072 ",Asia,7,897,0,,,341
Israel,"4,816,924",+307,"12,416                                ",,"4,798,473",,"6,035",21,"516,505","1,331","41,373,364","4,436,346","9,326,000 ",Asia,2,751,0,33,,647
Belgium,"4,782,863",,"34,115                                ",,"4,707,833","+2,583","40,915",43,"409,903","2,924","36,950,938","3,166,786","11,668,278 ",Europe,2,342,0,,,"3,507"
